"","created_at","id","id_str","full_text","truncated","display_text_range","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","possibly_sensitive","lang","quoted_status_id","quoted_status_id_str","text","favorited_by","scopes","display_text_width","retweeted_status","quoted_status_permalink","quote_count","timestamp_ms","reply_count","filter_level","query","withheld_scope","withheld_copyright","withheld_in_countries","possibly_sensitive_appealable"
"2763",2022-10-06 20:29:00,1578180558093426688,"1578180558093426690","Bi-directional service is coming to the Elmont UBS Arena LIRR station - Newsday #NewYork #Transit #NYC #MTA https://t.co/CM3fseqbwu",FALSE,131,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en",NA,NA,"Bi-directional service is coming to the Elmont UBS Arena LIRR station - Newsday #NewYork #Transit #NYC #MTA https://t.co/CM3fseqbwu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2764",2022-10-06 20:28:09,1578180343080882176,"1578180343080882177","MTA exec Reese Mahabir fired for doling out jobs to family https://t.co/xzfwUwnWjb #RecruiterTwitter #Jobs #Recruiting #Hiring #HR",FALSE,130,"<a href=""https://contentstudio.io"" rel=""nofollow"">ContentStudio.io</a>",NA,NA,NA,NA,NA,NA,FALSE,1,0,FALSE,FALSE,FALSE,"en",NA,NA,"MTA exec Reese Mahabir fired for doling out jobs to family https://t.co/xzfwUwnWjb #RecruiterTwitter #Jobs #Recruiting #Hiring #HR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2765",2022-10-06 20:25:03,1578179561128431616,"1578179561128431617","Station notice on #4train #5train and #6train Station Notice #MTA https://t.co/jh4U3Ctg8s",FALSE,89,"<a href=""http://www.subwaystats.com"" rel=""nofollow"">SubwayStats</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en",NA,NA,"Station notice on #4train #5train and #6train Station Notice #MTA https://t.co/jh4U3Ctg8s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2766",2022-10-06 20:24:55,1578179528832131072,"1578179528832131072","@sharilyn @Iluveastwillyb @MTAFareEvaders @NYCTSubway @MTA @CrimeInNYC @NYCMayor Maybe she meant ""no consequences for the crooks in charge of the MTA.""",FALSE,151,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1578059171907387392,"1578059171907387392",14192663,"14192663","sharilyn",NA,FALSE,0,1,FALSE,FALSE,NA,"en",NA,NA,"@sharilyn @Iluveastwillyb @MTAFareEvaders @NYCTSubway @MTA @CrimeInNYC @NYCMayor Maybe she meant ""no consequences for the crooks in charge of the MTA.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2767",2022-10-06 20:21:47,1578178739979972608,"1578178739979972609",".@ToddBarretta @FuckNjTransit @Dvlwoman30 @avianacrobat @JessieSingerNYC 

MTA finances are in trouble.

Governor Murphy wants to stop congestion pricing because he is afraid of more people using NJ Transit.

More NJ Transit riders terrifies the elites.

https://t.co/YFiax3xbZt",FALSE,278,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,NA,TRUE,0,1,FALSE,FALSE,FALSE,"en",1577999864931225600,"1577999864931225600",".@ToddBarretta @FuckNjTransit @Dvlwoman30 @avianacrobat @JessieSingerNYC 

MTA finances are in trouble.

Governor Murphy wants to stop congestion pricing because he is afraid of more people using NJ Transit.

More NJ Transit riders terrifies the elites.

https://t.co/YFiax3xbZt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2768",2022-10-06 20:20:35,1578178438157967360,"1578178438157967360","Recent vibes of #6<U+0E15><U+0E38><U+0E25><U+0E32>.
Support #MilkTeaAlliance and allies. 
——
More: https://t.co/10NEM0dWsZ
Original tweet by @2561X2561
Link: https://t.co/uT0IMd0lwD https://t.co/8zpEuEtZfq",FALSE,153,"<a href=""https://twit-auth-bot.herokuapp.com/callback"" rel=""nofollow"">MilkTeaAlliance vibes</a>",NA,NA,NA,NA,NA,NA,TRUE,0,0,FALSE,FALSE,FALSE,"en",1577605474090094592,"1577605474090094592","Recent vibes of #6<U+0E15><U+0E38><U+0E25><U+0E32>.
Support #MilkTeaAlliance and allies. 
——
More: https://t.co/10NEM0dWsZ
Original tweet by @2561X2561
Link: https://t.co/uT0IMd0lwD https://t.co/8zpEuEtZfq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2769",2022-10-06 20:20:17,1578178362698133504,"1578178362698133504","This is crazy, but I don’t wanna see no one else try and jump any more  subway tracks after this—service is bad enough without the MTA having to pull some electrified flow bro off the third rail. https://t.co/ym9fcQWtqO",FALSE,195,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,TRUE,7,114,FALSE,FALSE,FALSE,"en",1578157596468338688,"1578157596468338689","This is crazy, but I don’t wanna see no one else try and jump any more  subway tracks after this—service is bad enough without the MTA having to pull some electrified flow bro off the third rail. https://t.co/ym9fcQWtqO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2770",2022-10-06 20:19:52,1578178257718951936,"1578178257718951936","@StreetsblogNYC @NYSComptroller @MTA I had planned on using the MTA this weekend https://t.co/HOyis9yjF8",FALSE,80,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1577999864931225600,"1577999864931225600",128750686,"128750686","StreetsblogNYC",NA,FALSE,0,0,FALSE,FALSE,FALSE,"en",NA,NA,"@StreetsblogNYC @NYSComptroller @MTA I had planned on using the MTA this weekend https://t.co/HOyis9yjF8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2771",2022-10-06 20:16:39,1578177448088375296,"1578177448088375297","the fuck the MTA of you",FALSE,23,"<a href=""https://google.com"" rel=""nofollow"">the___ofyou</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"en",NA,NA,"the fuck the MTA of you",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2772",2022-10-06 20:15:02,1578177041358274560,"1578177041358274560","Suspended service on #Btrain #Dtrain #Ftrain #Mtrain Suspended #MTA https://t.co/jh4U3Ctg8s",FALSE,91,"<a href=""http://www.subwaystats.com"" rel=""nofollow"">SubwayStats</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en",NA,NA,"Suspended service on #Btrain #Dtrain #Ftrain #Mtrain Suspended #MTA https://t.co/jh4U3Ctg8s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2773",2022-10-06 20:15:00,1578177031879155712,"1578177031879155713","NYC subway, bus, train upgrades jeopardized by ballooning MTA debt, says NY Comptroller report - Yahoo News #NewYork #Transit #NYC #MTA https://t.co/hC8uUyeQXV",FALSE,159,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en",NA,NA,"NYC subway, bus, train upgrades jeopardized by ballooning MTA debt, says NY Comptroller report - Yahoo News #NewYork #Transit #NYC #MTA https://t.co/hC8uUyeQXV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2774",2022-10-06 20:14:36,1578176932822519808,"1578176932822519808","MSOC: Full time... @UNBMSoccer over @MTA_Athletics 3-0. @AUS_SUA 

#goredsgo",FALSE,76,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,NA,FALSE,1,4,FALSE,FALSE,NA,"en",NA,NA,"MSOC: Full time... @UNBMSoccer over @MTA_Athletics 3-0. @AUS_SUA 

#goredsgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2775",2022-10-06 20:12:39,1578176439937290240,"1578176439937290240","@mta if you announce that everyone on the 6 going uptown from 28th needs to get home another way, the least you can do is allow your employees to give a transfer. Thanks for wasting half an hour of my time.",FALSE,206,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,94129050,"94129050","MTA",NA,FALSE,0,0,FALSE,FALSE,NA,"en",NA,NA,"@mta if you announce that everyone on the 6 going uptown from 28th needs to get home another way, the least you can do is allow your employees to give a transfer. Thanks for wasting half an hour of my time.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
