month,car class,mdbf
2020-03,A DIVISION,211409
2020-03,B DIVISION,108312
2020-03,FLEET,130926
2020-03,R142,236177
2020-03,R142A,122039
2020-03,R143,153859
2020-03,R160,260843
2020-03,R179,150583
2020-03,R188 - CONVERSION,260356
2020-03,R188 - NEW,363886
2020-03,R32,29460
2020-03,R42,0
2020-03,R46,59762
2020-03,R62,216877
2020-03,R62A,113126
2020-03,R68,73998
2020-03,R68A,88604
2020-02,A DIVISION,172336
2020-02,B DIVISION,111432
2020-02,FLEET,130866
2020-02,R142,233142
2020-02,R142A,124424
2020-02,R143,147647
2020-02,R160,266986
2020-02,R188 - CONVERSION,258218
2020-02,R188 - NEW,451033
2020-02,R32,30186
2020-02,R42,27445
2020-02,R46,61018
2020-02,R62,213691
2020-02,R62A,113921
2020-02,R68,69384
2020-02,R68A,86745
2020-01,A DIVISION,172546
2020-01,B DIVISION,110912
2020-01,FLEET,130519
2020-01,R142,230676
2020-01,R142A,129431
2020-01,R143,133633
2020-01,R160,264924
2020-01,R179,158629
2020-01,R188 - CONVERSION,249117
2020-01,R188 - NEW,415541
2020-01,R32,30202
2020-01,R42,29015
2020-01,R46,63476
2020-01,R62,216005
2020-01,R62A,114976
2020-01,R68,66629
2020-01,R68A,86841
2019-12,A DIVISION,167931
2019-12,B DIVISION,108873
2019-12,FLEET,127743
2019-12,R142,212186
2019-12,R142A,124767
2019-12,R143,126684
2019-12,R160,267016
2019-12,R179,163704
2019-12,R188 - CONVERSION,261839
2019-12,R188 - NEW,480717
2019-12,R32,29805
2019-12,R42,33146
2019-12,R46,62014
2019-12,R62,215194
2019-12,R62A,114129
2019-12,R68,63610
2019-12,R68A,86243
2019-11,A DIVISION,164932
2019-11,B DIVISION,108046
2019-11,FLEET,126386
2019-11,R142,206692
2019-11,R142A,111437
2019-11,R143,115872
2019-11,R160,265406
2019-11,R179,168365
2019-11,R188 - CONVERSION,261464
2019-11,R188 - NEW,524280
2019-11,R32,29885
2019-11,R42,29775
2019-11,R46,62741
2019-11,R62,213271
2019-11,R62A,114927
2019-11,R68,63128
2019-11,R68A,84769
2019-10,A DIVISION,163498
2019-10,B DIVISION,107309
2019-10,FLEET,125430
2019-10,R142,204974
2019-10,R142A,109014
2019-10,R143,110276
2019-10,R160,264862
2019-10,R179,156962
2019-10,R188 - CONVERSION,272167
2019-10,R188 - NEW,722294
2019-10,R32,29715
2019-10,R42,31307
2019-10,R46,62774
2019-10,R62,238016
2019-10,R62A,110307
2019-10,R68,63531
2019-10,R68A,85868
2019-09,A DIVISION,164759
2019-09,B DIVISION,106722
2019-09,FLEET,125254
2019-09,R142,206305
2019-09,R142A,111559
2019-09,R143,99559
2019-09,R160,264497
2019-09,R179,172003
2019-09,R188 - CONVERSION,260593
2019-09,R188 - NEW,634133
2019-09,R32,29970
2019-09,R42,31187
2019-09,R46,61387
2019-09,R62,250063
2019-09,R62A,111374
2019-09,R68,66304
2019-09,R68A,86547
2019-08,A DIVISION,165475
2019-08,B DIVISION,106567
2019-08,FLEET,125319
2019-08,R142,208222
2019-08,R142A,108804
2019-08,R143,99632
2019-08,R160,254919
2019-08,R179,145131
2019-08,R188 - CONVERSION,232277
2019-08,R188 - NEW,623426
2019-08,R32,30665
2019-08,R42,29640
2019-08,R46,62348
2019-08,R62,248698
2019-08,R62A,115343
2019-08,R68,67631
2019-08,R68A,93180
2019-07,A DIVISION,163803
2019-07,B DIVISION,105910
2019-07,FLEET,124465
2019-07,R142,203816
2019-07,R142A,102700
2019-07,R143,98193
2019-07,R160,251972
2019-07,R179,130973
2019-07,R188 - CONVERSION,228832
2019-07,R188 - NEW,439884
2019-07,R32,33838
2019-07,R42,27530
2019-07,R46,61512
2019-07,R62,270490
2019-07,R62A,116312
2019-07,R68,66872
2019-07,R68A,90811
2019-06,A DIVISION,161633
2019-06,B DIVISION,105873
2019-06,FLEET,123916
2019-06,R142,201866
2019-06,R142A,97282
2019-06,R143,95279
2019-06,R160,246903
2019-06,R179,116547
2019-06,R188 - CONVERSION,233134
2019-06,R188 - NEW,500286
2019-06,R32,36325
2019-06,R42,28211
2019-06,R46,61822
2019-06,R62,273632
2019-06,R62A,114749
2019-06,R68,67129
2019-06,R68A,91485
2019-05,A DIVISION,154927
2019-05,B DIVISION,106673
2019-05,FLEET,122831
2019-05,R142,190465
2019-05,R142A,97577
2019-05,R143,96784
2019-05,R160,240879
2019-05,R179,108203
2019-05,R188 - CONVERSION,232418
2019-05,R188 - NEW,452133
2019-05,R32,35957
2019-05,R42,26082
2019-05,R46,63169
2019-05,R62,275585
2019-05,R62A,108674
2019-05,R68,70154
2019-05,R68A,99088
2019-04,A DIVISION,150614
2019-04,B DIVISION,106731
2019-04,FLEET,121704
2019-04,R142,178955
2019-04,R142A,95185
2019-04,R143,96974
2019-04,R160,241088
2019-04,R179,97995
2019-04,R188 - CONVERSION,224226
2019-04,R188 - NEW,537014
2019-04,R32,36222
2019-04,R42,24907
2019-04,R46,64764
2019-04,R62,269132
2019-04,R62A,107804
2019-04,R68,71035
2019-04,R68A,93072
2019-02,A DIVISION,144637
2019-02,B DIVISION,108693
2019-02,FLEET,121367
2019-02,R142,170537
2019-02,R142A,89975
2019-02,R143,91530
2019-02,R160,238277
2019-02,R188 - CONVERSION,204094
2019-02,R188 - NEW,473600
2019-02,R32,35322
2019-02,R42,26653
2019-02,R46,67982
2019-02,R62,317299
2019-02,R62A,103733
2019-02,R68,77549
2019-02,R68A,99876
2019-01,FLEET,121093
2019-01,R142,168179
2019-01,R142A,86517
2019-01,R143,97588
2019-01,R160,241832
2019-01,R188 - CONVERSION,211750
2019-01,R188 - NEW,523646
2019-01,R32,35218
2019-01,R42,27413
2019-01,R46,67847
2019-01,R62,312577
2019-01,R62A,101021
2019-01,R68,79811
2019-01,R68A,92678
2018-12,FLEET,121116
2018-12,R142,175880
2018-12,R142A,75880
2018-12,R143,97152
2018-12,R160,242265
2018-12,R188 - CONVERSION,198413
2018-12,R188 - NEW,583931
2018-12,R32,34890
2018-12,R42,25400
2018-12,R46,68714
2018-12,R62,355086
2018-12,R62A,99358
2018-12,R68,81675
2018-12,R68A,99255
2018-11,FLEET,121249
2018-11,R142,179845
2018-11,R142A,74730
2018-11,R143,99559
2018-11,R160,248656
2018-11,R188 - CONVERSION,182861
2018-11,R188 - NEW,588336
2018-11,R32,36146
2018-11,R42,26292
