ServiceDate,DelayCategory,NoofTrains
10/1/2019,Transportation,15
10/1/2019,Weather & Environmental,211
9/1/2019,3rd Party Operations,216
9/1/2019,Capital Projects,163
9/1/2019,Customers,498
9/1/2019,Engineering (Scheduled),102
9/1/2019,Engineering (Unscheduled),181
9/1/2019,Maintenance of Equipment,193
9/1/2019,Other,229
9/1/2019,Police,188
9/1/2019,Special Events,79
9/1/2019,Transportation,72
9/1/2019,Weather & Environmental,26
8/1/2019,3rd Party Operations,148
8/1/2019,Capital Projects,97
8/1/2019,Customers,444
8/1/2019,Engineering (Scheduled),48
8/1/2019,Engineering (Unscheduled),189
8/1/2019,Maintenance of Equipment,123
8/1/2019,Other,94
8/1/2019,Police,171
8/1/2019,Special Events,287
8/1/2019,Transportation,29
8/1/2019,Weather & Environmental,61
7/1/2019,3rd Party Operations,119
7/1/2019,Capital Projects,86
7/1/2019,Customers,490
7/1/2019,Engineering (Scheduled),61
7/1/2019,Engineering (Unscheduled),229
7/1/2019,Maintenance of Equipment,193
7/1/2019,Other,117
7/1/2019,Police,277
7/1/2019,Special Events,234
7/1/2019,Transportation,143
7/1/2019,Weather & Environmental,222
6/1/2019,3rd Party Operations,49
6/1/2019,Capital Projects,282
6/1/2019,Customers,395
6/1/2019,Engineering (Scheduled),27
6/1/2019,Engineering (Unscheduled),297
6/1/2019,Maintenance of Equipment,119
6/1/2019,Other,163
6/1/2019,Police,207
6/1/2019,Special Events,98
6/1/2019,Transportation,38
6/1/2019,Weather & Environmental,100
5/1/2019,3rd Party Operations,24
5/1/2019,Capital Projects,76
5/1/2019,Engineering (Scheduled),52
5/1/2019,Engineering (Unscheduled),152
5/1/2019,Maintenance of Equipment,107
5/1/2019,Other,131
5/1/2019,Police,100
5/1/2019,Special Events,86
5/1/2019,Transportation,17
5/1/2019,Weather & Environmental,38
5/1/2019,Customers,327
4/1/2019,3rd Party Operations,34
4/1/2019,Capital Projects,88
4/1/2019,Customers,258
4/1/2019,Engineering (Scheduled),45
4/1/2019,Engineering (Unscheduled),97
4/1/2019,Maintenance of Equipment,109
4/1/2019,Other,80
4/1/2019,Police,85
4/1/2019,Special Events,53
4/1/2019,Transportation,37
4/1/2019,Weather & Environmental,82
3/1/2019,3rd Party Operations,165
3/1/2019,Capital Projects,89
3/1/2019,Customers,330
3/1/2019,Engineering (Scheduled),23
3/1/2019,Engineering (Unscheduled),144
3/1/2019,Maintenance of Equipment,140
3/1/2019,Other,57
3/1/2019,Police,76
3/1/2019,Special Events,26
3/1/2019,Transportation,16
3/1/2019,Weather & Environmental,53
2/1/2019,3rd Party Operations,161
2/1/2019,Capital Projects,38
2/1/2019,Customers,218
