,division,line,station_name,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,allroutes
407,BMT,Myrtle,Forest Av,M,X,X,X,X,X,X,X,X,X,X,M
409,BMT,Canarsie,Atlantic Av,L,X,X,X,X,X,X,X,X,X,X,L
412,IRT,Jerome,183rd St,4,X,X,X,X,X,X,X,X,X,X,4
415,BMT,Canarsie,Wilson Av,L,X,X,X,X,X,X,X,X,X,X,L
416,BMT,Canarsie,Halsey St,L,X,X,X,X,X,X,X,X,X,X,L
422,IRT,Pelham,East 149th St,6,X,X,X,X,X,X,X,X,X,X,6
426,IRT,Broadway-7th Ave,231st St,1,X,X,X,X,X,X,X,X,X,X,1
430,IND,Concourse,Tremont Av,B,D,X,X,X,X,X,X,X,X,X,"B,D"
435,BMT,Canarsie,Bushwick Av,L,X,X,X,X,X,X,X,X,X,X,L
436,IND,Fulton,Broadway Junction-East New York,A,C,J,L,X,X,X,X,X,X,X,"A,C,J,L"
437,IND,Queens Boulevard,Northern Blvd,M,R,X,X,X,X,X,X,X,X,X,"M,R"
439,IRT,Pelham,East 143rd St-St Mary's St,6,X,X,X,X,X,X,X,X,X,X,6
443,IRT,Jerome,Burnside Av,4,X,X,X,X,X,X,X,X,X,X,4
447,BMT,Myrtle,Seneca Av,M,X,X,X,X,X,X,X,X,X,X,M
449,IRT,White Plains Road,Jackson Av,2,5,X,X,X,X,X,X,X,X,X,"2,5"
453,IRT,New Lots,Rockaway Av,3,X,X,X,X,X,X,X,X,X,X,3
455,IRT,Broadway-7th Ave,Marble Hill-225th St,1,X,X,X,X,X,X,X,X,X,X,1
457,IND,Concourse,174-175th Sts,B,D,X,X,X,X,X,X,X,X,X,"B,D"
461,BMT,Broadway Jamaica,Chauncey St,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
463,BMT,Canarsie,Myrtle Av,L,M,X,X,X,X,X,X,X,X,X,"L,M"
466,IRT,Jerome,176th St,4,X,X,X,X,X,X,X,X,X,X,4
468,IND,Fulton,Rockaway Av,A,C,X,X,X,X,X,X,X,X,X,"A,C"
474,BMT,Astoria,Ditmars Blvd,N,Q,X,X,X,X,X,X,X,X,X,"N,Q"
478,IRT,Flushing,Lincoln Av-52nd St,7,X,X,X,X,X,X,X,X,X,X,7
482,IND,Queens Boulevard,46th St,M,R,X,X,X,X,X,X,X,X,X,"M,R"
486,IND,Concourse,170th St,B,D,X,X,X,X,X,X,X,X,X,"B,D"
491,IRT,Pelham,Cypress Av,6,X,X,X,X,X,X,X,X,X,X,6
495,IRT,Jerome,Mt Eden Av,4,X,X,X,X,X,X,X,X,X,X,4
497,IRT,Broadway-7th Ave,215th St,1,X,X,X,X,X,X,X,X,X,X,1
501,IRT,New Lots,Saratoga Av,3,X,X,X,X,X,X,X,X,X,X,3
504,BMT,Broadway Jamaica,Halsey St,J,X,X,X,X,X,X,X,X,X,X,J
506,IRT,White Plains Road,149th St-3rd Av,2,5,X,X,X,X,X,X,X,X,X,"2,5"
514,IRT,Jerome,170th St,4,X,X,X,X,X,X,X,X,X,X,4
517,BMT,Astoria,Astoria Blvd-Hoyt Av,N,Q,X,X,X,X,X,X,X,X,X,"N,Q"
521,BMT,Canarsie,DeKalb Av,L,X,X,X,X,X,X,X,X,X,X,L
529,IND,Concourse,167th St,B,D,X,X,X,X,X,X,X,X,X,"B,D"
535,IRT,Flushing,Bliss St-46th St,7,X,X,X,X,X,X,X,X,X,X,7
541,IRT,Broadway-7th Ave,207th St,1,X,X,X,X,X,X,X,X,X,X,1
545,IRT,Pelham,Brook Av,6,X,X,X,X,X,X,X,X,X,X,6
549,BMT,Myrtle,Knickerbocker Av,M,X,X,X,X,X,X,X,X,X,X,M
551,IND,8 Avenue,Inwood - 207th St,A,X,X,X,X,X,X,X,X,X,X,A
557,IND,Queens Boulevard,Steinway St,M,R,X,X,X,X,X,X,X,X,X,"M,R"
561,IND,Fulton,Ralph Av,A,C,X,X,X,X,X,X,X,X,X,"A,C"
564,IRT,Jerome,167th St,4,X,X,X,X,X,X,X,X,X,X,4
568,BMT,Astoria,30 Av-Grand Av,N,Q,X,X,X,X,X,X,X,X,X,"N,Q"
572,BMT,Broadway Jamaica,Gates Av,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
574,IRT,New Lots,Sutter Av,3,X,X,X,X,X,X,X,X,X,X,3
577,BMT,Canarsie,Jefferson St,L,X,X,X,X,X,X,X,X,X,X,L
583,IRT,Flushing,Lowery St-40th St,7,X,X,X,X,X,X,X,X,X,X,7
587,BMT,Astoria,Broadway,N,Q,X,X,X,X,X,X,X,X,X,"N,Q"
590,IRT,Broadway-7th Ave,Dyckman St,1,X,X,X,X,X,X,X,X,X,X,1
592,IND,Concourse,Yankee Stadium-161st St,B,D,4,X,X,X,X,X,X,X,X,"B,D,4"
600,IRT,Jerome,Yankee Stadium-161st St,B,D,4,X,X,X,X,X,X,X,X,"B,D,4"
608,IRT,Pelham,138th St-3rd Ave,6,X,X,X,X,X,X,X,X,X,X,6
615,IND,8 Avenue,Dyckman St-200th St,A,X,X,X,X,X,X,X,X,X,X,A
622,IRT,Jerome,149th St-Grand Concourse,2,4,5,X,X,X,X,X,X,X,X,"2,4,5"
626,BMT,Myrtle,Central Av,M,X,X,X,X,X,X,X,X,X,X,M
628,IND,Queens Boulevard,36th St,M,R,X,X,X,X,X,X,X,X,X,"M,R"
633,BMT,Broadway Jamaica,Kosciusko St,J,X,X,X,X,X,X,X,X,X,X,J
635,IRT,Broadway-7th Ave,191st St,1,X,X,X,X,X,X,X,X,X,X,1
637,BMT,Astoria,36 Av-Washington Av,N,Q,X,X,X,X,X,X,X,X,X,"N,Q"
640,IRT,Jerome,138th St,4,5,X,X,X,X,X,X,X,X,X,"4,5"
643,IND,Fulton,Utica Av,A,C,X,X,X,X,X,X,X,X,X,"A,C"
647,IRT,Flushing,Rawson St-33rd St,7,X,X,X,X,X,X,X,X,X,X,7
653,BMT,Astoria,39 Av-Beebe Av,N,Q,X,X,X,X,X,X,X,X,X,"N,Q"
655,IRT,Eastern Parkway,Utica Av,3,4,X,X,X,X,X,X,X,X,X,"3,4"
662,BMT,Canarsie,Morgan Av,L,X,X,X,X,X,X,X,X,X,X,L
665,IRT,Broadway-7th Ave,181st St,1,X,X,X,X,X,X,X,X,X,X,1
667,IND,8 Avenue,190th St,A,X,X,X,X,X,X,X,X,X,X,A
669,BMT,Broadway Jamaica,Myrtle Av,J,M,Z,X,X,X,X,X,X,X,X,"J,M,Z"
671,IRT,Lenox,145th St,3,X,X,X,X,X,X,X,X,X,X,3
675,IRT,Lenox,Harlem-148th St,3,X,X,X,X,X,X,X,X,X,X,3
676,IND,Queens Boulevard,Queens Plaza,E,M,R,X,X,X,X,X,X,X,X,"E,M,R"
683,IRT,Lexington,125th St,4,5,6,X,X,X,X,X,X,X,X,"4,5,6"
688,IND,8 Avenue,181st St,A,X,X,X,X,X,X,X,X,X,X,A
693,IND,Concourse,155th St,B,D,X,X,X,X,X,X,X,X,X,"B,D"
694,IND,8 Avenue,168th St - Washington Heights,A,C,X,X,X,X,X,X,X,X,X,"A,C"
698,IND,8 Avenue,175th St,A,X,X,X,X,X,X,X,X,X,X,A
705,BMT,Canarsie,Montrose Av,L,X,X,X,X,X,X,X,X,X,X,L
707,IND,8 Avenue,163rd St - Amsterdam Av,C,X,X,X,X,X,X,X,X,X,X,C
710,IRT,Broadway-7th Ave,168th St,A,C,1,X,X,X,X,X,X,X,X,"A,C,1"
713,IRT,Flushing,Queensboro Plaza,N,Q,7,X,X,X,X,X,X,X,X,"N,Q,7"
715,BMT,Canarsie,Grand St,L,X,X,X,X,X,X,X,X,X,X,L
719,IRT,Lenox,135th St,2,3,X,X,X,X,X,X,X,X,X,"2,3"
723,IND,Fulton,Kingston-Throop,A,C,X,X,X,X,X,X,X,X,X,"A,C"
727,BMT,Broadway Jamaica,Flushing Av,J,M,X,X,X,X,X,X,X,X,X,"J,M"
731,IND,8 Avenue,155th St,C,X,X,X,X,X,X,X,X,X,X,C
737,IRT,Lexington,116th St,6,X,X,X,X,X,X,X,X,X,X,6
741,IRT,Eastern Parkway,Kingston Av,3,X,X,X,X,X,X,X,X,X,X,3
743,IND,63rd Street,21st St,F,X,X,X,X,X,X,X,X,X,X,F
748,IND,Crosstown,Long Island City-Court Square,G,X,X,X,X,X,X,X,X,X,X,G
751,BMT,Canarsie,Graham Av,L,X,X,X,X,X,X,X,X,X,X,L
755,IND,8 Avenue,145th St,A,B,C,D,X,X,X,X,X,X,X,"A,B,C,D"
761,IRT,Lexington,110th St,6,X,X,X,X,X,X,X,X,X,X,6
765,IRT,Broadway-7th Ave,157th St,1,X,X,X,X,X,X,X,X,X,X,1
769,IRT,Flushing,45 Rd-Court House Sq,E,G,M,7,X,X,X,X,X,X,X,"E,G,M,7"
772,IRT,Lenox,125th St,2,3,X,X,X,X,X,X,X,X,X,"2,3"
776,IND,Queens Boulevard,23rd St-Ely Av,E,G,M,7,X,X,X,X,X,X,X,"E,G,M,7"
780,BMT,Broadway Jamaica,Lorimer St,J,M,X,X,X,X,X,X,X,X,X,"J,M"
784,IRT,Lexington,103rd St,6,X,X,X,X,X,X,X,X,X,X,6
786,IRT,Nostrand,Flatbush Av-Brooklyn College,2,5,X,X,X,X,X,X,X,X,X,"2,5"
794,IND,8 Avenue,135th St,B,C,X,X,X,X,X,X,X,X,X,"B,C"
800,IRT,Nostrand,Newkirk Av,2,5,X,X,X,X,X,X,X,X,X,"2,5"
803,IRT,Flushing,Hunters Point,7,X,X,X,X,X,X,X,X,X,X,7
806,IRT,Nostrand,Beverly Rd,2,5,X,X,X,X,X,X,X,X,X,"2,5"
808,IND,Crosstown,Myrtle-Willoughby Avs,G,X,X,X,X,X,X,X,X,X,X,G
810,IRT,Nostrand,Church Av,2,5,X,X,X,X,X,X,X,X,X,"2,5"
817,IRT,Lenox,116th St,2,3,X,X,X,X,X,X,X,X,X,"2,3"
821,IND,Crosstown,21st St,G,X,X,X,X,X,X,X,X,X,X,G
824,IRT,Nostrand,Winthrop St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
826,IND,Crosstown,Flushing Av,G,X,X,X,X,X,X,X,X,X,X,G
828,BMT,Canarsie,Lorimer St,G,L,X,X,X,X,X,X,X,X,X,"G,L"
830,IND,Crosstown,Broadway,G,X,X,X,X,X,X,X,X,X,X,G
834,IRT,Broadway-7th Ave,145th St,1,X,X,X,X,X,X,X,X,X,X,1
837,IND,Fulton,Nostrand Av,A,C,X,X,X,X,X,X,X,X,X,"A,C"
841,IRT,Eastern Parkway,Nostrand Av,3,X,X,X,X,X,X,X,X,X,X,3
843,IRT,Nostrand,President St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
845,IRT,Nostrand,Sterling St,2,5,X,X,X,X,X,X,X,X,X,"2,5"
847,IRT,Lexington,96th St,6,X,X,X,X,X,X,X,X,X,X,6
851,IND,Crosstown,Nassau Av,G,X,X,X,X,X,X,X,X,X,X,G
857,IND,Crosstown,Metropolitan Av,G,L,X,X,X,X,X,X,X,X,X,"G,L"
861,IRT,Lenox,110th St-Central Park North,2,3,X,X,X,X,X,X,X,X,X,"2,3"
863,IND,8 Avenue,125th St,A,B,C,D,X,X,X,X,X,X,X,"A,B,C,D"
869,IND,63rd Street,Roosevelt Island,F,X,X,X,X,X,X,X,X,X,X,F
870,BMT,Broadway Jamaica,Hewes St,J,M,X,X,X,X,X,X,X,X,X,"J,M"
872,IND,Crosstown,Bedford-Nostrand Avs,G,X,X,X,X,X,X,X,X,X,X,G
878,IRT,Flushing,Vernon Blvd-Jackson Av,7,X,X,X,X,X,X,X,X,X,X,7
886,IRT,Broadway-7th Ave,137th St-City College,1,X,X,X,X,X,X,X,X,X,X,1
890,BMT,Brighton,Sheepshead Bay,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
892,IND,Crosstown,Greenpoint Av,G,X,X,X,X,X,X,X,X,X,X,G
897,IND,8 Avenue,116th St,B,C,X,X,X,X,X,X,X,X,X,"B,C"
901,BMT,Brighton,Neck Rd,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
902,IRT,Lexington,86th St,4,5,6,X,X,X,X,X,X,X,X,"4,5,6"
910,BMT,Franklin,Franklin Av,A,FS,X,X,X,X,X,X,X,X,X,"A,FS"
911,BMT,Brighton,Av U,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
912,IND,Fulton,Franklin Av,A,C,FS,X,X,X,X,X,X,X,X,"A,C,FS"
913,BMT,Canarsie,Bedford Av,L,X,X,X,X,X,X,X,X,X,X,L
917,BMT,Franklin,Park Place,FS,X,X,X,X,X,X,X,X,X,X,FS
919,BMT,Brighton,Kings Highway,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
922,BMT,Broadway Jamaica,Marcy Av,J,M,Z,X,X,X,X,X,X,X,X,"J,M,Z"
930,IRT,Eastern Parkway,Franklin Av,FS,2,3,4,5,X,X,X,X,X,X,"FS,2,3,4,5"
934,IND,8 Avenue,Cathedral Parkway-110th St,B,C,X,X,X,X,X,X,X,X,X,"B,C"
937,IRT,Broadway-7th Ave,125th St,1,X,X,X,X,X,X,X,X,X,X,1
941,BMT,Franklin,Botanic Gardens,FS,2,3,4,5,X,X,X,X,X,X,"FS,2,3,4,5"
942,BMT,Brighton,Av M,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
944,IRT,Lexington,77th St,6,X,X,X,X,X,X,X,X,X,X,6
952,IND,Crosstown,Classon Av,G,X,X,X,X,X,X,X,X,X,X,G
955,BMT,Brighton,Av J,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
958,BMT,Brighton,Brighton Beach,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
966,IND,8 Avenue,103rd St,B,C,X,X,X,X,X,X,X,X,X,"B,C"
967,BMT,Brighton,Parkside Av,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
969,BMT,Brighton,Av H,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
971,BMT,Brighton,Prospect Park,B,Q,FS,X,X,X,X,X,X,X,X,"B,Q,FS"
974,BMT,Brighton,Newkirk Av,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
975,BMT,Brighton,Church Av,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
977,IRT,Lexington,68th St-Hunter College,6,X,X,X,X,X,X,X,X,X,X,6
982,BMT,Brighton,Cortelyou Rd,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
983,IRT,Broadway-7th Ave,116th St-Columbia University,1,X,X,X,X,X,X,X,X,X,X,1
988,IRT,Eastern Parkway,Eastern Parkway-Brooklyn Museum,2,3,X,X,X,X,X,X,X,X,X,"2,3"
